lat,lon
-23.5311739,-46.6232641
-23.5275709,-46.6190037
-23.5339718,-46.6219419
-23.5304743,-46.6181612
-23.5306153,-46.6182589
-23.5293937,-46.6170989
-23.5316106,-46.6107068
-23.5295392,-46.6132313
-23.5311158,-46.6134569
-23.5301163,-46.6103714
-23.5317225,-46.6154812
-23.5300935,-46.6122498
-23.5313988,-46.6104434
-23.5306617,-46.6097118
-23.5129415,-46.6079441
-23.5344389,-46.6047572
-23.5187376,-46.6110389
-23.5420302,-46.606079
-23.5398832,-46.6063967
-23.6056513,-46.5167172
-23.505509,-46.607083
-23.5098416,-46.5953857
-23.7787135,-46.6844264
-23.5874365,-46.6818162
-23.5880274,-46.6840231
-23.529667,-46.6360978
-23.5282456,-46.6356383
-23.5335244,-46.6374268
-23.5287118,-46.6391166
-23.5256113,-46.6408023
-23.5237641,-46.640583
-23.5348614,-46.6302528
-23.5333034,-46.6295304
-23.5332026,-46.6299986
-23.5404265,-46.6220637
-23.5331961,-46.6187908
-23.5409838,-46.6179193
-23.494897,-46.5923433
-23.5402254,-46.6173942
-23.5364601,-46.613286
-23.5318356,-46.6155591
-23.5644988,-46.6803676
-23.5665739,-46.6853309
-23.5675075,-46.6876068
-23.5678632,-46.688752
-23.5620841,-46.6805072
-23.5617423,-46.6807993
-23.560125,-46.6819144
-23.5492949,-46.6445758
-23.5251208,-46.6282553
-23.5248537,-46.6083945
-23.5256789,-46.6080246
-23.536428,-46.6049809
-23.5373067,-46.6052545
-23.4949159,-46.587631
-23.5257722,-46.6133459
-23.4813411,-46.5718898
-23.4809993,-46.5712037
-23.483033,-46.575092
-23.482008,-46.5733194
-23.4822099,-46.5733717
-23.4820671,-46.573459
-23.5599929,-46.6775239
-23.4933128,-46.5914512
-23.4904953,-46.5890633
-23.6229449,-46.7012982
-23.4867503,-46.5904982
-23.4951481,-46.5779271
-23.4968985,-46.5937871
-23.4917705,-46.5901407
-23.5154705,-46.61051
-23.5031587,-46.6089687
-23.5054831,-46.5988406
-23.5218775,-46.5911748
-23.5224259,-46.5899307
-23.5242409,-46.5899706
-23.5092432,-46.5922358
-23.4978171,-46.594478
-23.4977601,-46.5899215
-23.498522,-46.5898772
-23.575844,-46.625065
-23.5795405,-46.6257186
-23.5781268,-46.6211623
-23.5781597,-46.622696
-23.5788954,-46.6181953
-23.5934787,-46.5935983
-23.5969714,-46.5903877
-23.5243063,-46.5902798
-23.5244192,-46.5901145
-23.5238098,-46.591008
-23.5236815,-46.5912383
-23.6118997,-46.4732071
-23.5313527,-46.6364154
-23.5317763,-46.6349073
-23.5311518,-46.6380243
-23.5144126,-46.6076423
-23.5791039,-46.6114815
-23.4937732,-46.5832649
-23.4857295,-46.5723801
-23.4852858,-46.5714471
-23.4849682,-46.5707766
-23.4838913,-46.5686007
-23.4835864,-46.5679554
-23.4826931,-46.5664197
-23.4827831,-46.5881146
-23.4821733,-46.5660057
-23.4749811,-46.5700628
-23.4630527,-46.5806623
-23.4630556,-46.5805364
-23.4822466,-46.5831943
-23.4861811,-46.5783961
-23.502328,-46.6003616
-23.5620149,-46.5980739
-23.5362596,-46.6032775
-23.534675,-46.6024244
-23.5539207,-46.4926556
-23.4916636,-46.5781053
-23.5679321,-46.6493765
-23.4920397,-46.5733025
-23.5175228,-46.5920551
-23.5194269,-46.5888822
-23.5206275,-46.5874138
-23.5325882,-46.6117465
-23.4821818,-46.5732139
-23.498548,-46.519454
-23.5078788,-46.5426216
-23.5079636,-46.5426894
-23.5246702,-46.4777923
-23.5251645,-46.4788805
-23.5250319,-46.4785084
-23.524866,-46.4785384
-23.5090773,-46.4775045
-23.5198179,-46.5938617
-23.5554189,-46.6737694
-23.5528509,-46.658938
-23.5517098,-46.6568919
-23.5500668,-46.6537574
-23.516777,-46.5900373
-23.5565773,-46.7329393
-23.5665332,-46.6856289
-23.509504,-46.592439
-23.5120536,-46.5863581
-23.5362353,-46.6094786
-23.567464,-46.5884078
